domain,"domain_type","domain_wc","match_depth","sort_order"
"s3.dualstack.ap-south-2.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-south-2.amazonaws.com",6,4
"s3.dualstack.ap-south-2.amazonaws.com",PRIVATE,"s3.dualstack.ap-south-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-south-2.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-south-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-south-2.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-south-2.amazonaws.com",6,4
"s3-website.dualstack.ap-south-2.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-south-2.amazonaws.com",6,4
"s3-website.dualstack.ap-south-2.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-south-2.amazonaws.com",6,4
"s3.dualstack.ap-southeast-1.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-southeast-1.amazonaws.com",6,4
"s3.dualstack.ap-southeast-1.amazonaws.com",PRIVATE,"s3.dualstack.ap-southeast-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-southeast-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-southeast-1.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-southeast-1.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-1.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-southeast-1.amazonaws.com",6,4
"s3.dualstack.ap-southeast-2.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-southeast-2.amazonaws.com",6,4
"s3.dualstack.ap-southeast-2.amazonaws.com",PRIVATE,"s3.dualstack.ap-southeast-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-2.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-southeast-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-2.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-southeast-2.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-2.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-southeast-2.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-2.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-southeast-2.amazonaws.com",6,4
"s3.dualstack.ap-southeast-3.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-southeast-3.amazonaws.com",6,4
"s3.dualstack.ap-southeast-3.amazonaws.com",PRIVATE,"s3.dualstack.ap-southeast-3.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-3.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-southeast-3.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-3.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-southeast-3.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-3.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-southeast-3.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-3.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-southeast-3.amazonaws.com",6,4
"s3.dualstack.ap-southeast-4.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-southeast-4.amazonaws.com",6,4
"s3.dualstack.ap-southeast-4.amazonaws.com",PRIVATE,"s3.dualstack.ap-southeast-4.amazonaws.com",6,4
